Model,Scenario,i,j,lon,lat,slope_05_00,slope_50_00
ACCESS1-0,rcp26,302,38,-99.0,-99.0,NA,NA
ACCESS1-0,rcp45,302,38,-58.0,-51.5,0.8124,0.8207
ACCESS1-0,rcp85,302,38,-58.0,-51.5,0.8968,0.9394
bcc-csm1-1,rcp26,303,38,-57.0,-51.5,0.9967,0.8977
bcc-csm1-1,rcp45,303,38,-57.0,-51.5,0.9837,1.0357
bcc-csm1-1,rcp85,303,38,-57.0,-51.5,1.0587,0.9963
CNRM-CM5,rcp26,302,38,-58.0,-51.5,0.8915,0.8209
CNRM-CM5,rcp45,302,38,-58.0,-51.5,0.9267,1.0671
CNRM-CM5,rcp85,302,38,-58.0,-51.5,0.9335,0.9214
CSIRO-Mk3-6-0,rcp26,302,38,-58.0,-51.5,0.8026,0.8992
CSIRO-Mk3-6-0,rcp45,302,38,-58.0,-51.5,0.7912,0.7679
CSIRO-Mk3-6-0,rcp85,302,38,-58.0,-51.5,0.7298,0.7491
CanESM2,rcp26,302,38,-58.0,-51.5,1.0095,1.2558
CanESM2,rcp45,302,38,-58.0,-51.5,1.0037,1.0984
CanESM2,rcp85,302,38,-58.0,-51.5,0.9549,0.9383
GFDL-ESM2G,rcp26,303,38,-57.0,-51.5,0.7431,0.5977
GFDL-ESM2G,rcp45,303,38,-57.0,-51.5,0.8681,0.7124
GFDL-ESM2G,rcp85,303,38,-57.0,-51.5,0.9006,0.8803
GFDL-ESM2M,rcp26,303,38,-57.0,-51.5,0.9605,0.9844
GFDL-ESM2M,rcp45,303,38,-57.0,-51.5,0.9995,1.0848
GFDL-ESM2M,rcp85,303,38,-57.0,-51.5,0.9387,0.937
GISS-E2-R,rcp26,302,38,-58.0,-51.5,1.2126,1.1213
GISS-E2-R,rcp45,302,38,-58.0,-51.5,1.3341,1.3666
GISS-E2-R,rcp85,302,38,-58.0,-51.5,1.2791,1.2341
HadGEM2-CC,rcp26,303,38,-99.0,-99.0,NA,NA
HadGEM2-CC,rcp45,303,38,-57.0,-51.5,0.8102,0.7802
HadGEM2-CC,rcp85,303,38,-57.0,-51.5,0.9205,0.9737
HadGEM2-ES,rcp26,303,38,-57.0,-51.5,0.752,0.9064
HadGEM2-ES,rcp45,303,38,-57.0,-51.5,0.9137,1.0367
HadGEM2-ES,rcp85,303,38,-57.0,-51.5,0.939,0.9486
inmcm4,rcp26,303,38,-99.0,-99.0,NA,NA
inmcm4,rcp45,303,38,-57.0,-51.5,0.8655,0.8252
inmcm4,rcp85,303,38,-57.0,-51.5,0.904,0.9146
IPSL-CM5A-LR,rcp26,302,38,-58.0,-51.5,0.9644,0.8353
IPSL-CM5A-LR,rcp45,302,38,-58.0,-51.5,0.9836,0.96
IPSL-CM5A-LR,rcp85,302,38,-58.0,-51.5,0.9308,0.8618
IPSL-CM5A-MR,rcp26,302,38,-58.0,-51.5,0.9467,0.7313
IPSL-CM5A-MR,rcp45,302,38,-58.0,-51.5,0.8253,0.8164
IPSL-CM5A-MR,rcp85,302,38,-58.0,-51.5,0.8111,0.865
MIROC-ESM,rcp26,302,38,-58.0,-51.5,1.1287,1.1321
MIROC-ESM,rcp45,302,38,-58.0,-51.5,1.0499,1.0589
MIROC-ESM,rcp85,302,38,-58.0,-51.5,0.9667,0.9564
MIROC-ESM-CHEM,rcp26,302,38,-58.0,-51.5,1.2532,1.3495
MIROC-ESM-CHEM,rcp45,302,38,-58.0,-51.5,1.1115,1.1221
MIROC-ESM-CHEM,rcp85,302,38,-58.0,-51.5,0.9752,0.9462
MIROC5,rcp26,302,38,-58.0,-51.5,0.9054,1.1963
MIROC5,rcp45,302,38,-58.0,-51.5,0.8865,0.8445
MIROC5,rcp85,302,38,-58.0,-51.5,0.7309,0.6791
MPI-ESM-LR,rcp26,302,38,-58.0,-51.5,0.805,0.7276
MPI-ESM-LR,rcp45,302,38,-58.0,-51.5,0.8593,1.0201
MPI-ESM-LR,rcp85,302,38,-58.0,-51.5,0.9167,0.9061
MPI-ESM-MR,rcp26,303,38,-57.0,-51.5,0.8103,0.7781
MPI-ESM-MR,rcp45,303,38,-57.0,-51.5,0.8781,0.9971
MPI-ESM-MR,rcp85,303,38,-57.0,-51.5,0.827,0.7502
MRI-CGCM3,rcp26,302,38,-58.0,-51.5,0.9793,1.3666
MRI-CGCM3,rcp45,302,38,-58.0,-51.5,1.0665,1.3986
MRI-CGCM3,rcp85,302,38,-58.0,-51.5,0.9678,1.0566
NorESM1-M,rcp26,303,38,-57.0,-51.5,0.8413,0.9279
NorESM1-M,rcp45,303,38,-57.0,-51.5,0.8899,0.8263
NorESM1-M,rcp85,303,38,-57.0,-51.5,0.8742,0.9081
NorESM1-ME,rcp26,303,38,-57.0,-51.5,0.8614,0.9173
NorESM1-ME,rcp45,303,38,-57.0,-51.5,0.9392,0.8963
NorESM1-ME,rcp85,303,38,-57.0,-51.5,0.9213,0.8741
